statement_id,statement,domain,has_error,error_step,error_type,correct_answer,cot
230,Three coins are flipped. What is P(all heads)?,Probability,1,2,wrong_formula,1/8,"Step 1: P = (1/2)³.
Step 2: = 1/8. [ERROR]
Step 3: Answer: 1/8.

[ERROR INJECTED AT STEP 2]"
66,How many multiples of 7 are between 1 and 100?,Number Theory,0,-1,none,14,"Step 1: Largest multiple of 7 ≤ 100 is 98 = 7×14.
Step 2: So there are 14 multiples of 7.
Step 3: They are: 7, 14, 21, ..., 98.
Step 4: Answer: 14.

Final Answer: 14"
90,How many ways can 3 coins be flipped?,Combinatorics,1,1,wrong_setup,8,"Step 1: Each coin has 2 outcomes (H or T).
Step 2: Total outcomes = 2³ = 8.
Step 3: Answer: 8.

[ERROR INJECTED AT STEP 1]"
70,What is the remainder when 2020 is divided by 7?,Number Theory,1,3,calculation_error,4,"Step 1: 2020 ÷ 7 = 288 remainder 4.
Step 2: Check: 7×288 = 2016.
Step 3: 2020 - 2016 ≠ 4. [ARITHMETIC ERROR]
Step 4: Remainder is 4.

[ERROR INJECTED AT STEP 3]"
216,A coin is flipped. What is P(heads)?,Probability,1,1,wrong_setup,1/2,"Step 1: 1 favorable out of 2 outcomes.
Step 2: P = 1/2.
Step 3: Answer: 1/2.

[ERROR INJECTED AT STEP 1]"
34,A sphere has radius 3. Find its volume.,Geometry,0,-1,none,36π,"Step 1: Volume of sphere = (4/3)πr³.
Step 2: Substitute r = 3: (4/3)π(27).
Step 3: = 4π × 9 = 36π.
Step 4: Answer: 36π.

Final Answer: 36π"
61,What is the arithmetic mean of the reciprocals of the first three primes?,Number Theory,0,-1,none,31/90,"Step 1: First three primes: 2, 3, 5.
Step 2: Reciprocals: 1/2, 1/3, 1/5.
Step 3: Sum = 15/30 + 10/30 + 6/30 = 31/30.
Step 4: Mean = (31/30)/3 = 31/90.

Final Answer: 31/90"
113,A card is drawn from a deck. What is P(it is a face card)?,Probability,0,-1,none,3/13,"Step 1: Face cards: J, Q, K in each suit = 12 total.
Step 2: P(face card) = 12/52 = 3/13.
Step 3: Answer: 3/13.

Final Answer: 3/13"
142,Solve for x: log₃(x) + log₃(x-2) = 1.,Algebra,0,-1,none,3,"Step 1: Combine: log₃(x(x-2)) = 1.
Step 2: So x(x-2) = 3¹ = 3.
Step 3: x² - 2x - 3 = 0.
Step 4: (x-3)(x+1) = 0. x = 3 (x = -1 invalid).
Step 5: Answer: 3.

Final Answer: 3"
95,How many ways can you arrange 3 red and 3 blue balls in a row?,Combinatorics,0,-1,none,20,"Step 1: Total 6 balls with 3 red and 3 blue.
Step 2: Arrangements = 6!/(3!×3!).
Step 3: = 720/(6×6) = 20.
Step 4: Answer: 20.

Final Answer: 20"
144,A triangle has angles 45° and 45°. What is the third angle?,Geometry,0,-1,none,90,"Step 1: Sum of angles = 180°.
Step 2: Third angle = 180° - 45° - 45°.
Step 3: = 90°.
Step 4: Answer: 90.

Final Answer: 90"
170,What is the remainder when 100 is divided by 7?,Number Theory,1,3,calculation_error,2,"Step 1: 100 = 7×14 + 2.
Step 2: Remainder = 2.
Step 3: Answer: 2. [ARITHMETIC ERROR]

[ERROR INJECTED AT STEP 3]"
208,How many ways can 7 items be arranged if 2 are identical?,Combinatorics,0,-1,none,2520,"Step 1: 7!/2! = 5040/2.
Step 2: = 2520.
Step 3: Answer: 2520.

Final Answer: 2520"
205,How many ways can 5 people sit in 5 chairs?,Combinatorics,0,-1,none,120,"Step 1: 5! = 5×4×3×2×1.
Step 2: = 120.
Step 3: Answer: 120.

Final Answer: 120"
141,"What is the 10th term of the sequence 2, 5, 8, 11, ...?",Algebra,0,-1,none,29,"Step 1: This is arithmetic with a₁=2, d=3.
Step 2: aₙ = a₁ + (n-1)d.
Step 3: a₁₀ = 2 + 9×3 = 29.
Step 4: Answer: 29.

Final Answer: 29"
138,Find the range of f(x) = x² + 2.,Algebra,1,2,wrong_formula,y ≥ 2,"Step 1: x² ≥ 0 for all real x.
Step 2: So x² + 2 ≥ 2. [ERROR]
Step 3: Range: y ≥ 2.
Step 4: Answer: y ≥ 2.

[ERROR INJECTED AT STEP 2]"
38,A cube has edge length 5. Find its surface area.,Geometry,0,-1,none,150,"Step 1: Surface area of cube = 6s² where s is edge length.
Step 2: s = 5, so surface area = 6 × 25.
Step 3: = 150.
Step 4: Answer: 150.

Final Answer: 150"
130,Find the domain of f(x) = √(x-4).,Algebra,0,-1,none,x ≥ 4,"Step 1: For √(x-4) to be real, x-4 ≥ 0.
Step 2: So x ≥ 4.
Step 3: Domain: x ≥ 4.
Step 4: Answer: x ≥ 4.

Final Answer: x ≥ 4"
133,Solve: |2x - 5| = 7.,Algebra,0,-1,none,"6, -1","Step 1: Case 1: 2x - 5 = 7 gives 2x = 12, x = 6.
Step 2: Case 2: 2x - 5 = -7 gives 2x = -2, x = -1.
Step 3: Solutions: x = 6 or x = -1.
Step 4: Answer: 6, -1.

Final Answer: 6, -1"
207,How many ways can 2 colors be chosen from 4?,Combinatorics,1,3,calculation_error,6,"Step 1: C(4,2) = 4!/(2!×2!).
Step 2: = 6.
Step 3: Answer: 6. [ARITHMETIC ERROR]

[ERROR INJECTED AT STEP 3]"
32,Two angles of a triangle measure 50° and 60°. What is the third angle?,Geometry,0,-1,none,70,"Step 1: Sum of angles in a triangle = 180°.
Step 2: Third angle = 180° - 50° - 60°.
Step 3: Third angle = 70°.
Step 4: Answer: 70.

Final Answer: 70"
238,A coin is flipped 2 times. What is P(2 tails)?,Probability,0,-1,none,1/4,"Step 1: P = (1/2)².
Step 2: = 1/4.
Step 3: Answer: 1/4.

Final Answer: 1/4"
71,Find the smallest prime greater than 100.,Number Theory,0,-1,none,101,"Step 1: Check 101 for primality.
Step 2: √101 ≈ 10. Check primes 2, 3, 5, 7.
Step 3: 101 is odd, 1+0+1=2 (not div by 3), doesn't end in 0/5, 101/7≈14.4.
Step 4: 101 is prime.
Step 5: Answer: 101.

Final Answer: 101"
148,A cylinder has radius 2 and height 5. Find its surface area.,Geometry,0,-1,none,28π,"Step 1: Surface area = 2πr² + 2πrh.
Step 2: = 2π(4) + 2π(2)(5).
Step 3: = 8π + 20π = 28π.
Step 4: Answer: 28π.

Final Answer: 28π"
215,A coin is flipped. What is P(heads)?,Probability,0,-1,none,1/2,"Step 1: 1 favorable out of 2 outcomes.
Step 2: P = 1/2.
Step 3: Answer: 1/2.

Final Answer: 1/2"
53,What is the greatest common divisor of 48 and 72?,Number Theory,0,-1,none,24,"Step 1: Prime factorization: 48 = 2⁴ × 3.
Step 2: Prime factorization: 72 = 2³ × 3².
Step 3: GCD = 2³ × 3 = 8 × 3.
Step 4: GCD = 24.
Step 5: Answer: 24.

Final Answer: 24"
64,What is the GCD of 144 and 180?,Number Theory,0,-1,none,36,"Step 1: 144 = 2⁴ × 3².
Step 2: 180 = 2² × 3² × 5.
Step 3: GCD = 2² × 3² = 4 × 9.
Step 4: GCD = 36.

Final Answer: 36"
7,What is the sum of the roots of 3x² - 12x + 9 = 0?,Algebra,0,-1,none,4,"Step 1: For ax² + bx + c = 0, sum of roots = -b/a.
Step 2: Here a = 3, b = -12.
Step 3: Sum = -(-12)/3 = 12/3.
Step 4: Sum = 4.
Step 5: Answer is 4.

Final Answer: 4"
19,Find the product of all solutions to x² - 7x + 12 = 0.,Algebra,0,-1,none,12,"Step 1: By Vieta's formulas, product of roots = c/a.
Step 2: Here a = 1, c = 12.
Step 3: Product = 12/1 = 12.
Step 4: Alternatively, factor: (x-3)(x-4) = 0.
Step 5: Roots are 3 and 4, product = 12.

Final Answer: 12"
59,"Find φ(15), where φ is Euler's totient function.",Number Theory,0,-1,none,8,"Step 1: 15 = 3 × 5.
Step 2: φ(15) = 15 × (1-1/3) × (1-1/5).
Step 3: = 15 × 2/3 × 4/5.
Step 4: = 10 × 4/5 = 8.
Step 5: Answer: 8.

Final Answer: 8"
237,Two dice are rolled. What is P(sum is 5)?,Probability,0,-1,none,1/9,"Step 1: Favorable: (1,4), (2,3), (3,2), (4,1) = 4.
Step 2: P = 4/36 = 1/9.
Step 3: Answer: 1/9.

Final Answer: 1/9"
226,A card is drawn. What is P(it is red)?,Probability,1,5,wrong_answer,1/2,"Step 1: 26 red cards in 52.
Step 2: P = 26/52 = 1/2.
Step 3: Answer: 1/2.

[ERROR INJECTED AT STEP 5]"
204,How many ways can 1 item be chosen from 7?,Combinatorics,0,-1,none,7,"Step 1: C(7,1) = 7.
Step 2: Answer: 7.

Final Answer: 7"
219,A card is drawn. What is P(it is an ace)?,Probability,0,-1,none,1/13,"Step 1: 4 aces in 52 cards.
Step 2: P = 4/52 = 1/13.
Step 3: Answer: 1/13.

Final Answer: 1/13"
9,Simplify: (x² - 1) / (x - 1) for x ≠ 1.,Algebra,0,-1,none,x + 1,"Step 1: Factor numerator: x² - 1 = (x+1)(x-1).
Step 2: Expression becomes (x+1)(x-1) / (x-1).
Step 3: Cancel (x-1) since x ≠ 1.
Step 4: Result is x + 1.
Step 5: Answer: x + 1.

Final Answer: x + 1"
67,Find the sum of all primes less than 20.,Number Theory,0,-1,none,77,"Step 1: Primes less than 20: 2, 3, 5, 7, 11, 13, 17, 19.
Step 2: Sum = 2 + 3 + 5 + 7 + 11 + 13 + 17 + 19.
Step 3: = 77.
Step 4: Answer: 77.

Final Answer: 77"
20,"If x = 3, what is the value of 2x² + 5x - 3?",Algebra,0,-1,none,30,"Step 1: Substitute x = 3 into the expression.
Step 2: 2(3)² + 5(3) - 3 = 2(9) + 15 - 3.
Step 3: Calculate: 18 + 15 - 3.
Step 4: = 33 - 3 = 30.
Step 5: Answer: 30.

Final Answer: 30"
209,How many ways can a die be rolled 2 times?,Combinatorics,0,-1,none,36,"Step 1: 6 × 6 = 36.
Step 2: Answer: 36.

Final Answer: 36"
187,What is the units digit of 5^100?,Number Theory,0,-1,none,5,"Step 1: Any power of 5 ends in 5.
Step 2: Units digit = 5.
Step 3: Answer: 5.

Final Answer: 5"
86,How many ways can you choose 2 captains from a team of 8?,Combinatorics,0,-1,none,28,"Step 1: Use combination: C(8,2).
Step 2: C(8,2) = 8!/(2!×6!) = (8×7)/2.
Step 3: = 56/2 = 28.
Step 4: Answer: 28.

Final Answer: 28"
181,"Find the smallest number divisible by 2, 3, 4, 5, and 6.",Number Theory,0,-1,none,60,"Step 1: Find LCM of 2, 3, 4, 5, 6.
Step 2: LCM = 2² × 3 × 5.
Step 3: = 60.
Step 4: Answer: 60.

Final Answer: 60"
201,How many ways can 8 items be divided into 2 groups of 4?,Combinatorics,1,2,wrong_formula,35,"Step 1: C(8,4) = 70.
Step 2: Groups are indistinguishable, divide by 2. [ERROR]
Step 3: 70/2 = 35.
Step 4: Answer: 35.

[ERROR INJECTED AT STEP 2]"
63,What is the tens digit of 7^2019?,Number Theory,0,-1,none,4,"Step 1: Find 7^2019 mod 100.
Step 2: Pattern: 7¹=7, 7²=49, 7³≡43, 7⁴≡01 (mod 100).
Step 3: Cycle length is 4.
Step 4: 2019 = 4×504 + 3, so 7^2019 ≡ 7³ ≡ 43 (mod 100).
Step 5: Tens digit is 4.

Final Answer: 4"
192,How many ways can 6 people be arranged in a circle?,Combinatorics,0,-1,none,120,"Step 1: Circular permutations = (n-1)!.
Step 2: = 5!.
Step 3: = 120.
Step 4: Answer: 120.

Final Answer: 120"
2,"If x + 1/x = 3, find x⁵ + 1/x⁵.",Algebra,1,4,logic_error,123,"Step 1: Let S_n = x^n + 1/x^n. We know S₁ = 3.
Step 2: Compute S₂ = (x + 1/x)² - 2 = 3² - 2 = 7.
Step 3: Use recurrence: S₃ = S₁ × S₂ - S₁ = 3 × 7 - 3 = 18.
Step 4: Compute S₄ = S₂² - 2 = 49 - 2 = 47. [LOGIC ERROR]
Step 5: Compute S₅ = S₁ × S₄ - S₃ = 3 × 47 - 18 = 123.

[ERROR INJECTED AT STEP 4]"
41,A circle is inscribed in a square of side 10. Find the area of the circle.,Geometry,0,-1,none,25π,"Step 1: Diameter of circle = side of square = 10.
Step 2: Radius = 10/2 = 5.
Step 3: Area = πr² = π(25).
Step 4: Area = 25π.

Final Answer: 25π"
30,"Find the area of a triangle with sides 5, 12, and 13.",Geometry,0,-1,none,30,"Step 1: Check if it's a right triangle: 5² + 12² = 25 + 144 = 169 = 13². Yes!
Step 2: For a right triangle, area = (1/2) × leg1 × leg2.
Step 3: Area = (1/2) × 5 × 12 = 30.
Step 4: Answer: 30.

Final Answer: 30"
233,Two dice are rolled. What is P(both even)?,Probability,0,-1,none,1/4,"Step 1: P(even) = 1/2 for each.
Step 2: P(both even) = (1/2)².
Step 3: = 1/4.
Step 4: Answer: 1/4.

Final Answer: 1/4"
14,What is the value of (2^2019 + 2^2021) / 2^2020?,Algebra,0,-1,none,5/2,"Step 1: Factor out 2^2019 from numerator: 2^2019(1 + 2²) / 2^2020.
Step 2: Simplify inside parentheses: 1 + 4 = 5.
Step 3: So we have 2^2019 × 5 / 2^2020.
Step 4: Cancel powers: 5 / 2^(2020-2019) = 5/2.
Step 5: Answer = 5/2.

Final Answer: 5/2"
232,A die is rolled. What is P(rolling > 4)?,Probability,1,4,logic_error,1/3,"Step 1: > 4 means 5 or 6 = 2 outcomes.
Step 2: P = 2/6 = 1/3.
Step 3: Answer: 1/3.

[ERROR INJECTED AT STEP 4]"
125,"If a + b = 7 and a - b = 3, find ab.",Algebra,0,-1,none,10,"Step 1: Add equations: 2a = 10, so a = 5.
Step 2: Subtract: 2b = 4, so b = 2.
Step 3: ab = 5 × 2 = 10.
Step 4: Answer: 10.

Final Answer: 10"
65,What is the units digit of 3^2020?,Number Theory,0,-1,none,1,"Step 1: Pattern of units digits: 3, 9, 7, 1, 3, 9, 7, 1...
Step 2: Cycle length is 4.
Step 3: 2020 = 4×505, so 3^2020 has same units digit as 3^4.
Step 4: Units digit of 3^4 is 1.

Final Answer: 1"
190,How many ways can 2 items be chosen from 6?,Combinatorics,0,-1,none,15,"Step 1: C(6,2) = 6!/(2!×4!).
Step 2: = (6×5)/2.
Step 3: = 15.
Step 4: Answer: 15.

Final Answer: 15"
124,"What is the slope of the line passing through (2, 3) and (5, 11)?",Algebra,0,-1,none,8/3,"Step 1: Slope = (y₂-y₁)/(x₂-x₁).
Step 2: Slope = (11-3)/(5-2) = 8/3.
Step 3: Answer: 8/3.

Final Answer: 8/3"
